page,pseudo,fbID,groupe,dateCréation,aimentPageMin,aimentPageMax,followersMin,followersMax,publications,partages,commentaires,likes,love,solidarité,haha,wow,tristesse,colère,interactions,videoNb,videoVues
L'actualité,lactualite,#10216458583,Mishmash,2008-03-29,450030,453803,450685,459777,1303,20676,26620,47455,7151,3019,4042,2086,1669,2279,114997,6,5991
"CIBL 101,5",CIBL1015,#56034380050,ARCQ,2008-07-08,22834,23283,24691,25658,87,246,73,681,210,4,0,2,0,1,1217,2,1364
L'épicerie,lepicerie,#23464139596,Radio-Canada,2008-08-19,95633,96354,97054,99944,218,7473,4152,13679,2035,390,177,640,509,672,29727,71,369592
La semaine verte,semaineverte,#47898945976,Radio-Canada,2008-08-19,59216,64769,64419,76710,332,26293,8280,42985,7547,1427,382,1589,1827,1351,91681,98,675396
Hebdomadaire La Revue de Terrebonne,revueterrebonne,#107310330253,Lexis média,2008-12-14,9818,10878,10392,11473,1906,16733,10429,18716,4085,1818,611,1456,2988,1627,58463,32,14375
L'Indice bohémien,indicebohemien,#157035310656,AMECQ,2009-03-23,3988,4319,4413,4678,377,1459,660,1928,839,69,8,43,23,1,5030,32,11999
CJAD 800 Montreal,cjad800,#62993538701,Bell,2009-03-31,42083,43880,42452,44590,3905,72322,226399,139127,15834,5914,22370,17367,46873,38057,584263,146,132539
La Presse,LaPresseFB,#78302173311,La Presse,2009-04-02,643652,678145,657157,697034,13481,629847,1624258,1725637,283168,142387,430088,175532,428223,458397,5897537,15,372921
Journal Métro,journalmetro,#64790844524,MétroMédia,2009-04-09,159448,161644,160602,166004,5345,61425,177689,132486,20403,8911,36912,11973,24988,34927,509714,65,864736
URBANIA,URBANIA,#70366134138,Urbania,2009-04-17,158960,168306,172110,185580,2394,65885,72015,180110,44999,19017,27351,2336,6558,2178,420449,133,5209930
CTV Montreal,ctvmontreal,#38459519955,Bell,2009-05-13,77552,81019,80709,84613,10452,212771,278487,325694,44185,18143,55372,51763,132098,88427,1206940,14,30371
Actualités - L'Étincelle du Val SF,actualitesletincelle,#100063454697742,Néomédia,2009-05-14,3978,4101,4044,4142,1037,2802,519,3037,367,48,54,116,308,71,7322,1,859
"Plaisir 95,5",-,#90319881621,Arsenal Média,2009-06-09,?,?,?,?,1115,4170,1682,2621,409,96,239,80,310,163,9770,1,843
Le Devoir,ledevoir,#98317905527,Le Devoir,2009-06-17,323619,378794,360679,432896,9392,430674,1344319,1281005,192512,110250,280219,99268,301781,323220,4363248,352,11665011
Le Citoyen Rouyn - La Sarre,lecitoyenrouynlasarre,#109730386592,Lexis média,2009-06-30,20870,21208,21206,21767,2148,36163,20448,51419,8268,1578,1849,3148,2971,2439,128283,18,10033
Québec Hebdo,quebechebdo,#96828034139,MétroMédia,2009-07-02,17323,17684,17046,18024,2076,6049,3735,4848,710,251,832,368,1163,629,18585,1,233
Journal Entrée Libre,journalentreelibre,#100568953535,AMECQ,2009-07-08,925,952,990,1021,59,49,33,171,27,15,2,1,7,0,305,1,63
Les Affaires,la.lesaffaires,#100306918236,Contex,2009-07-13,153759,157867,161339,167894,3139,22730,54578,111313,6185,952,12291,3425,2652,6229,220355,15,38443
Journal Le Reflet,JournalLeRefletGraviteMedia,#102471329717,Gravité média,2009-07-14,15821,17975,17083,19373,3233,58334,54375,87868,17005,5126,3413,7196,10473,5654,249444,0,0
La Voix du Sud,lavoixdusud,#120815214216,Ici Médias,2009-07-21,9530,10755,10156,11497,1005,21619,9331,25409,2643,802,761,1724,2791,1411,66491,9,43162
RDS,RDS,#132756582352,Bell,2009-08-10,390450,405613,384577,435223,10233,276514,1307424,2661124,429202,30142,207408,89547,64910,64674,5130945,700,24670236
Beauce Média,beaucemedia,#125969067756,Ici Médias,2009-08-23,9774,10818,10407,11524,923,13985,10405,19879,3157,609,1357,1573,2570,1626,55161,13,38829
CIBM FM 107,CIBM107,#140168673893,Groupe Radio Simard,2009-08-25,22910,23101,23525,23734,1578,38124,72862,47580,7513,769,2488,2589,5454,3379,180758,215,516300
CBC Montreal,CBCMontreal,#128015371297,Radio-Canada,2009-09-09,121335,129685,136485,154125,3089,117405,148728,299692,52331,10518,17222,18293,43348,29770,737307,194,1329477
Vision croisée,visioncroisee,#1790659501045680,AMECQ,2009-09-28,?,?,?,?,12,14,2,34,9,0,0,0,0,0,59,0,0
West QuebecPost,west.quebecpost,#901877453180330,Hebdo privé indépendant,2009-09-28,742,771,760,785,3,3,0,1,0,0,0,0,1,0,5,0,0
Journal TDN,journal.tdn,#1436132130011806,AMECQ,2009-10-03,3557,3761,3697,3885,2029,5036,1547,5902,954,372,382,477,283,299,15252,1,835
ICI Ottawa Gatineau,iciottawagatineau,#152856822182,Radio-Canada,2009-10-13,57473,59507,66248,68435,2476,43143,35806,80758,16348,7743,3347,5143,13003,6922,212213,388,2627489
La Tribune,Latribunedesherbrooke,#315133550256,Cn2i,2009-10-15,43428,47130,45758,49425,14981,132818,168545,225358,37989,18212,27865,27111,52623,44725,735246,34,105976
"CFIM, la radio des Îles de la Madeleine",cfimradio,#990363124358961,ARCQ,2009-10-26,8095,8613,8457,9032,2343,9226,3132,17100,2082,640,184,675,736,344,34119,10,12717
TVA Nouvelles,TVAnouvelles,#163706859094,Québecor,2009-10-26,1170884,1190236,1174916,1226074,12396,2968327,6494863,5467523,860957,375278,1511059,938417,1987474,1755497,22359395,35,5485985
Chatelaine,ChatelaineMagazine,#173313460834,St. Joseph,2009-11-12,160852,162346,162503,170524,1758,10743,5498,34402,4076,1464,650,841,2564,654,60892,10,538965
Info Dimanche,infodimanche,#176907966183,Néomédia,2009-11-13,23972,25647,25382,27015,2514,47887,30619,56966,8853,2347,2388,5747,11329,4201,170337,101,452509
Le Journal de Lévis,LeJournaldeLevis,#174093697897,Média coopératif indépendant,2009-11-17,14371,16486,15289,17447,2686,21787,16351,27548,4464,1176,1841,1690,3697,2134,80688,2,5486
Radio CHGA,chga.fm,#186575453743,ARCQ,2009-11-25,9851,11176,10239,11561,1992,29395,19836,23882,3742,1118,2127,1876,5314,1952,89242,9,26078
"CHOX-FM 97,5",CHOX975,#377928410603,Groupe Radio Simard,2009-12-15,?,?,?,?,36,216,66,141,16,7,5,2,5,1,459,1,1279
"CIEL FM 103,7",CIEL103,#208658131206,Groupe Radio Simard,2009-12-15,?,?,?,?,1147,14950,13838,17236,2716,523,1080,1664,2970,1799,56776,10,173346
Hebdo Rive Nord,hebdorn,#242646941257,Lexis média,2009-12-17,13558,13834,14268,14611,1918,7479,4914,10412,1509,508,703,422,1767,613,28327,30,6953
Journal le Phare,journallephare.org,#225905758286,AMECQ,2009-12-29,1268,1365,1316,1382,801,86,67,175,26,5,0,1,11,0,371,0,0
Le Nord-Côtier,LeNordCotier,#254400736372,Éditions nordiques,2010-01-12,20185,21474,20912,22238,2790,46206,29353,61912,10513,3026,3856,3491,4792,2460,165609,11,54462
Écho de La Tuque,-,#246902629754,Ici Médias,2010-01-12,8254,8737,8604,9237,1112,16232,12106,24437,4740,1493,1019,1960,3053,1203,66243,18,65263
L'Avantage Gaspésien,avantagegaspesien,#250789524180,Lexis média,2010-01-13,9891,10577,10427,11161,702,16367,6602,22037,3204,888,810,1917,2167,1260,55252,17,6101
L'Avant-Poste,lavantposte,#278296897888,Lexis média,2010-01-13,3963,4349,4166,4613,539,13716,3467,11317,2420,513,116,966,1584,532,34631,11,1745
L'Éclat,lecitoyenvaldoramos,#252516926738,Lexis média,2010-01-13,22289,22966,22552,23365,2178,39711,21126,53500,7177,2104,2555,3771,5436,2583,137963,50,25206
L'info du Nord Sainte-Agathe,linfodunordsa,#246782525678,In Médias,2010-01-13,8061,9153,8543,9724,1274,13243,7842,18693,2951,610,426,1230,1792,836,47623,6,12158
Journal Le Canada Français,lecanadafrancais,#255561392521,Ici Médias,2010-01-15,27071,29091,29101,30959,374,33978,17688,23393,4008,907,1435,5420,5406,2683,94918,3,14183
JOURNAL GRAFFICI,GRAFFICI.CA,#278003087532,AMECQ,2010-01-19,4337,4454,4526,4765,174,383,314,1334,269,17,2,14,3,3,2339,0,0
Journal L'Éveil,JOURNAL.LEVEIL,#263432421377,Hebdo privé indépendant,2010-01-19,4305,4770,4653,5090,355,2791,916,4124,614,186,57,241,391,270,9590,39,127408
Le Nord Info,NordInfoCom,#285011661387,Xtube,2010-01-19,5239,5742,5577,6023,168,1271,302,1248,122,36,9,152,195,107,3442,8,26016
Montreal Gazette,montrealgazette,#273805206181,PostMedia,2010-01-26,189212,196637,201965,214987,21427,227929,535823,556105,51966,13388,111455,47291,106563,95301,1745821,114,373000
Journal L'Action,journallaction,#282075260681,Lexis média,2010-01-30,14571,15365,15564,16424,1937,19759,10002,23078,3532,2206,545,1539,3972,1373,66006,15,7164
Le Soleil de Châteauguay,JournalLeSoleildeChateauguay,#275463874404,Gravité média,2010-01-31,16690,17743,17930,18892,3021,57480,45916,68999,12635,4517,2959,7236,9498,5401,214641,27,86912
